Num,Match,Team,Win,Score,Overs,Wkts,Four,Six,legby,bye,Noball,Wide,CaptainRuns,CaptainWkts,CaptainCatches,,
44,44,KKR,1,245,20,8,24,15,1,0,0,6,50,0,2,,
44,44,KXIP,0,214,20,6,12,16,0,0,0,5,45,0,0,,
45,45,DD,0,181,20,5,14,9,0,4,0,7,32,0,0,,
45,45,RCB,1,187,19,4,14,10,1,0,1,5,70,0,0,,
46,46,SRH,0,179,20,2,17,6,0,0,0,1,51,1,1,,
46,46,CSK,1,180,19,4,13,11,3,0,0,10,20,0,0,,
47,47,MI,0,168,20,3,15,7,1,0,0,9,0,0,0,,
47,47,RR,1,171,18,6,16,7,2,0,0,7,37,0,0,,
48,48,KXIP,0,88,15.1,0,5,5,2,0,1,1,0,0,0,,
48,48,RCB,1,92,8.1,10,13,2,2,0,0,3,48,0,2,,
49,49,RR,0,142,19,4,16,4,1,0,0,1,11,1,3,,
49,49,KKR,1,145,18,10,16,5,1,0,0,1,41,0,0,,
50,50,MI,1,186,20,5,12,11,2,2,0,5,6,0,0,,
50,50,KXIP,0,183,20,8,16,6,5,0,1,5,0,2,1,,
51,51,RCB,1,218,20,3,20,12,2,0,0,3,12,0,0,,
51,51,SRH,0,204,20,6,16,12,1,1,0,2,81,0,0,,
52,52,DD,1,162,20,6,10,9,2,0,0,0,19,0,1,,
52,52,CSK,0,128,20,5,6,7,3,0,0,6,17,0,0,,
53,53,RR,1,164,20,10,11,6,1,1,0,1,33,0,1,,
53,53,RCB,0,134,19.2,5,15,2,1,0,0,4,4,0,0,,
54,54,SRH,0,172,20,5,14,6,2,0,0,5,36,0,0,,
54,54,KKR,1,173,19.4,9,14,8,1,4,1,5,26,1,2,,
55,55,DD,1,174,20,10,13,7,1,0,0,6,6,0,0,,
55,55,MI,0,163,19.3,4,10,9,6,1,0,5,13,0,0,,
56,56,KXIP,0,153,19.4,5,6,8,0,1,1,7,0,2,0,,
56,56,CSK,1,159,19.1,10,11,7,4,1,1,5,16,0,3,,
57,Q1,SRH,0,139,20,8,12,4,2,0,0,3,24,0,0,,
57,Q1,CSK,1,140,19.1,7,13,5,0,0,0,9,9,1,2,,
58,EL,KKR,1,169,20,4,13,8,0,0,0,1,52,0,0,,
58,EL,RR,0,144,20,7,11,5,0,4,1,5,46,0,1,,
59,Q2,SRH,1,174,20,9,16,7,2,0,0,1,3,0,0,,
59,Q2,KKR,0,160,10,7,14,7,1,0,0,4,8,2,1,,
60,Final,SRH,0,178,20,2,13,9,3,0,0,3,47,0,0,,
60,Final,CSK,1,181,20,6,16,10,1,0,1,6,0,2,0,,
